arm,action,action_type,attempt_index,error_excerpt,none_serialization_repair,official_success,sampling_seed,score_after,score_before,score_delta,score_observation_available,submitted
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 4429}",USE,19,,False,True,654366395059469006,0.25,0.125,0.125,True,True
original_world0_p102,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""north""}",ROTATE_DIRECTION,20,,False,True,7357047107808695891,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 4""}",TELEPORT_TO_LOCATION,21,,False,True,5233220805547534793,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 5""}",TELEPORT_TO_LOCATION,22,,False,True,1235849569604591237,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 9390}",USE,23,"arg2: Could not find object with UUID '9390' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,7479297564060901095,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 6""}",TELEPORT_TO_LOCATION,24,,False,True,9145913387921726604,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 31795}",USE,25,"arg2: Could not find object with UUID '31795' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,5701964935093569100,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",TELEPORT_TO_LOCATION,26,,False,True,5246462232740431136,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 3""}",TELEPORT_TO_LOCATION,27,,False,True,8051044647013525914,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 7""}",TELEPORT_TO_LOCATION,28,,False,True,3440578995681144882,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",TELEPORT_TO_LOCATION,29,,False,True,5439855768994482740,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 4""}",TELEPORT_TO_LOCATION,30,,False,True,3933975689351377852,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 46872}",USE,31,"arg2: Could not find object with UUID '46872' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,6921786575078010729,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 5""}",TELEPORT_TO_LOCATION,32,,False,True,8696645358574809792,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 10""}",TELEPORT_TO_LOCATION,33,,False,True,8405784324555369326,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 11""}",TELEPORT_TO_LOCATION,34,,False,True,1556308699342095159,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",TELEPORT_TO_LOCATION,35,,False,True,9154544002529601319,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 3""}",TELEPORT_TO_LOCATION,36,,False,True,4814770421359587331,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",TELEPORT_TO_LOCATION,37,,False,True,3500732754785337765,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 20342}",USE,38,"arg2: Could not find object with UUID '20342' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,8184365560843200362,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""20342""}",TELEPORT_TO_OBJECT,39,,False,True,6934710973510088532,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 20342}",USE,40,,False,True,4210055634323223049,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",DISCOVERY_FEED_GET_UPDATES,41,,False,True,7468563026396933863,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 10""}",TELEPORT_TO_LOCATION,42,,False,True,305107848488029873,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 11""}",TELEPORT_TO_LOCATION,43,,False,True,1471432163443647313,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",TELEPORT_TO_LOCATION,44,,False,True,5623855942404833595,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 3""}",TELEPORT_TO_LOCATION,45,,False,True,4427086780439431167,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 12""}",TELEPORT_TO_LOCATION,46,,False,True,1802174111681971529,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",TELEPORT_TO_LOCATION,47,,False,True,5683238448250647197,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 20342}",USE,48,,False,True,5219230247649686036,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""south""}",MOVE_DIRECTION,49,,False,True,1366032810543282484,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}",TELEPORT_TO_LOCATION,50,,False,True,7966993506461585828,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 10""}",TELEPORT_TO_LOCATION,51,,False,True,7453254182878713027,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 11""}",TELEPORT_TO_LOCATION,52,,False,True,7258366934136225170,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 11""}",TELEPORT_TO_LOCATION,53,,False,True,631700461081207041,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 41429}",USE,54,"arg2: Could not find object with UUID '41429' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,4870618587056154944,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 41429}",USE,55,"arg2: Could not find object with UUID '41429' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,1185628832319865324,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 41429}",USE,56,"arg2: Could not find object with UUID '41429' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,7132191990932135343,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 46238}",USE,57,"arg2: Could not find object with UUID '46238' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,6985195984714829466,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 10""}",TELEPORT_TO_LOCATION,58,,False,True,3249700903439808803,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 12""}",TELEPORT_TO_LOCATION,59,,False,True,3069914787160778713,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 11""}",TELEPORT_TO_LOCATION,60,,False,True,4303607301600054445,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 11""}",TELEPORT_TO_LOCATION,61,,False,True,2937236509338034794,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 41429}",USE,62,"arg2: Could not find object with UUID '41429' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,368353350802776000,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 10""}",TELEPORT_TO_LOCATION,63,,False,True,1164208531502337441,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""north""}",MOVE_DIRECTION,64,,False,True,6935822984915903948,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",TELEPORT_TO_LOCATION,65,,False,True,4337203200897369100,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",TELEPORT_TO_LOCATION,66,,False,True,2423959947210328627,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 3""}",TELEPORT_TO_LOCATION,67,,False,True,4663788452863508302,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",TELEPORT_TO_LOCATION,68,,False,True,2887732273996130337,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 4""}",TELEPORT_TO_LOCATION,69,,False,True,996909957892298403,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 5""}",TELEPORT_TO_LOCATION,70,,False,True,6548225522430191530,0.25,0.25,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": ""33276"", ""arg2"": ""9390""}",USE,71,,False,True,1647420001336930455,0.375,0.25,0.125,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": ""33276"", ""arg2"": ""9390""}",USE,72,,False,True,3646099128406307504,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 6""}",TELEPORT_TO_LOCATION,73,,False,True,995059797700578223,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": ""33276"", ""arg2"": ""31795""}",USE,74,"arg2: Could not find object with UUID '31795' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). Note: expected type of arg2 is 'int', but found `<class 'str'>`. ",False,False,9193715247498314997,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 31795}",USE,75,"arg2: Could not find object with UUID '31795' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,5227047118728335246,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 31795}",USE,76,"arg2: Could not find object with UUID '31795' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,3905638117814067457,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 4""}",TELEPORT_TO_LOCATION,77,,False,True,9115242463007756775,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 7""}",TELEPORT_TO_LOCATION,78,,False,True,8117130389518101293,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",TELEPORT_TO_LOCATION,79,,False,True,7054308414850159722,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",TELEPORT_TO_LOCATION,80,,False,True,4173139067738335068,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 5""}",TELEPORT_TO_LOCATION,81,,False,True,3478822168663399375,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""west""}",MOVE_DIRECTION,82,,False,True,663662427836921478,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""9390""}",TELEPORT_TO_OBJECT,83,,False,True,2313685059948790062,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 3""}",TELEPORT_TO_LOCATION,84,,False,True,6830564283776185971,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": ""33276"", ""arg2"": ""22887""}",USE,85,,False,True,3519879333768135752,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": ""33276"", ""arg2"": ""20560""}",USE,86,"arg2: Could not find object with UUID '20560' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). Note: expected type of arg2 is 'int', but found `<class 'str'>`. ",False,False,2858375991117465097,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 20560}",USE,87,"arg2: Could not find object with UUID '20560' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,3098141902183108599,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 22887}",USE,88,,False,True,7946711946687172327,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",TELEPORT_TO_LOCATION,89,,False,True,3558920201820896697,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",TELEPORT_TO_LOCATION,90,,False,True,7832634544524862758,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 4""}",TELEPORT_TO_LOCATION,91,,False,True,5251000379473546810,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 10""}",TELEPORT_TO_LOCATION,92,,False,True,8399942872174562377,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 11""}",TELEPORT_TO_LOCATION,93,,False,True,7148489417296038745,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 3""}",TELEPORT_TO_LOCATION,94,,False,True,7323158129762675122,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 22887}",USE,95,,False,True,6988762785836507724,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 20560}",USE,96,"arg2: Could not find object with UUID '20560' Are you sure it's accessible (i.e in your inventory, or directly in front of you?). ",False,False,7654495122232041030,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 5""}",TELEPORT_TO_LOCATION,97,,False,True,805196474431227431,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",TELEPORT_TO_LOCATION,98,,False,True,420657528733915742,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",TELEPORT_TO_LOCATION,99,,False,True,7025498365362905822,0.375,0.375,0.0,True,True
original_world0_p102,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 4""}",TELEPORT_TO_LOCATION,100,,False,True,7835162020891422597,0.375,0.375,0.0,True,True
