condition,attempt_index,candidate_count,executed_action,executed_action_changed_from_first_proposal,first_action,generated_revision_action_different,official_or_parser_failure,repeats_previous_failed_action,revision_action,revision_generated_but_unparsed,official_score_transition
Native1,11,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""8549""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""8549""}",False,False,False,,False,"{""attempt_index"": 11, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 10, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,12,1,"{""action"": ""READ"", ""arg1"": 8549}",False,"{""action"": ""READ"", ""arg1"": 8549}",False,False,False,,False,"{""attempt_index"": 12, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 11, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,13,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",False,False,False,,False,"{""attempt_index"": 13, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 12, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,14,1,"{""action"": ""PICKUP"", ""arg1"": ""23195""}",False,"{""action"": ""PICKUP"", ""arg1"": ""23195""}",False,True,False,,False,"{""attempt_index"": 14, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 13, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,15,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}",False,False,False,,False,"{""attempt_index"": 15, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 14, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,16,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""33276""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""33276""}",False,False,False,,False,"{""attempt_index"": 16, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 15, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,17,1,"{""action"": ""USE"", ""arg1"": ""33276"", ""arg2"": ""8925""}",False,"{""action"": ""USE"", ""arg1"": ""33276"", ""arg2"": ""8925""}",False,False,False,,False,"{""attempt_index"": 17, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 16, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,18,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",False,False,False,,False,"{""attempt_index"": 18, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 17, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,19,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""8925"", ""arg2"": null}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""8925"", ""arg2"": null}",False,False,False,,False,"{""attempt_index"": 19, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 18, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,20,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 3""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 3""}",False,False,False,,False,"{""attempt_index"": 20, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 19, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,21,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 10""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 10""}",False,False,False,,False,"{""attempt_index"": 21, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 20, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,22,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",False,False,False,,False,"{""attempt_index"": 22, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 21, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,23,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 5""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 5""}",False,False,False,,False,"{""attempt_index"": 23, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 22, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,24,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 11""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 11""}",False,False,False,,False,"{""attempt_index"": 24, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 23, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,25,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""8925""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""8925""}",False,False,False,,False,"{""attempt_index"": 25, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 24, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,26,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 12""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 12""}",False,False,False,,False,"{""attempt_index"": 26, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 25, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,27,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""20342"", ""arg2"": null}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""20342"", ""arg2"": null}",False,False,False,,False,"{""attempt_index"": 27, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 26, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,28,1,"{""action"": ""USE"", ""arg1"": ""20342"", ""arg2"": ""20342""}",False,"{""action"": ""USE"", ""arg1"": ""20342"", ""arg2"": ""20342""}",False,True,False,,False,"{""attempt_index"": 28, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 27, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,29,1,"{""action"": ""USE"", ""arg1"": ""20342"", ""arg2"": ""8925""}",False,"{""action"": ""USE"", ""arg1"": ""20342"", ""arg2"": ""8925""}",False,True,False,,False,"{""attempt_index"": 29, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 28, ""score_after"": 0.0, ""score_before"": 0.0}"
Native1,30,1,"{""action"": ""USE"", ""arg1"": 20342, ""arg2"": 8925}",False,"{""action"": ""USE"", ""arg1"": 20342, ""arg2"": 8925}",False,True,False,,False,"{""attempt_index"": 30, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 29, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,1,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,False,False,,False,"{""attempt_index"": 1, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 0, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,2,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 2, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 1, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,3,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""8549""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""8549""}",False,False,False,,False,"{""attempt_index"": 3, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 2, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,4,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 4, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 3, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,5,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 5, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 4, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,6,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,False,False,,False,"{""attempt_index"": 6, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 5, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,7,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 7, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 6, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,8,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,False,False,,False,"{""attempt_index"": 8, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 7, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,9,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 9, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 8, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,10,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 10, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 9, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,11,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""8549""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""8549""}",False,False,False,,False,"{""attempt_index"": 11, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 10, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,12,1,"{""action"": ""READ"", ""arg1"": 8549}",False,"{""action"": ""READ"", ""arg1"": 8549}",False,False,False,,False,"{""attempt_index"": 12, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 11, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,13,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",False,False,False,,False,"{""attempt_index"": 13, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 12, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,14,1,"{""action"": ""USE"", ""arg1"": ""46475"", ""arg2"": ""23195""}",False,"{""action"": ""USE"", ""arg1"": ""46475"", ""arg2"": ""23195""}",False,True,False,,False,"{""attempt_index"": 14, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 13, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,15,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",False,False,False,,False,"{""attempt_index"": 15, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 14, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,16,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",False,False,False,,False,"{""attempt_index"": 16, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 15, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,17,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 17, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 16, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,18,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",False,False,False,,False,"{""attempt_index"": 18, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 17, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,19,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""20030""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""20030""}",False,False,False,,False,"{""attempt_index"": 19, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 18, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,20,2,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""20030""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""20030""}",True,False,False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}",False,"{""attempt_index"": 20, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 19, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,21,2,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 3""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 3""}",True,False,False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}",False,"{""attempt_index"": 21, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 20, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,22,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",False,False,False,,False,"{""attempt_index"": 22, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 21, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,23,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",False,False,False,,False,"{""attempt_index"": 23, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 22, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,24,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",False,False,False,,False,"{""attempt_index"": 24, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 23, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,25,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""23195""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""23195""}",False,False,False,,False,"{""attempt_index"": 25, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 24, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,26,1,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",False,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",False,False,False,,False,"{""attempt_index"": 26, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 25, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,27,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""20030""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""20030""}",False,False,False,,False,"{""attempt_index"": 27, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 26, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,28,1,"{""action"": ""PICKUP"", ""arg1"": ""20030""}",False,"{""action"": ""PICKUP"", ""arg1"": ""20030""}",False,True,False,,False,"{""attempt_index"": 28, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 27, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,29,2,"{""action"": ""PICKUP"", ""arg1"": 20030}",False,"{""action"": ""PICKUP"", ""arg1"": 20030}",False,True,False,"{""action"": ""PICKUP"", ""arg1"": 20030}",False,"{""attempt_index"": 29, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 28, ""score_after"": 0.0, ""score_before"": 0.0}"
NoGraphRisk,30,2,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""20030""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""20030""}",True,False,False,"{""action"": ""PICKUP"", ""arg1"": 20030}",False,"{""attempt_index"": 30, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 29, ""score_after"": 0.0, ""score_before"": 0.0}"
ExplicitRepeatRisk,1,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,False,False,,False,"{""attempt_index"": 1, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 0, ""score_after"": 0.0, ""score_before"": 0.0}"
ExplicitRepeatRisk,2,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 2, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 1, ""score_after"": 0.0, ""score_before"": 0.0}"
ExplicitRepeatRisk,3,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""8549""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""8549""}",False,False,False,,False,"{""attempt_index"": 3, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 2, ""score_after"": 0.0, ""score_before"": 0.0}"
ExplicitRepeatRisk,4,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 4, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 3, ""score_after"": 0.0, ""score_before"": 0.0}"
ExplicitRepeatRisk,5,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 5, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 4, ""score_after"": 0.0, ""score_before"": 0.0}"
ExplicitRepeatRisk,6,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,False,False,,False,"{""attempt_index"": 6, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 5, ""score_after"": 0.0, ""score_before"": 0.0}"
ExplicitRepeatRisk,7,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 7, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 6, ""score_after"": 0.0, ""score_before"": 0.0}"
ExplicitRepeatRisk,8,1,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""46475""}",False,False,False,,False,"{""attempt_index"": 8, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 7, ""score_after"": 0.0, ""score_before"": 0.0}"
ExplicitRepeatRisk,9,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 9, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 8, ""score_after"": 0.0, ""score_before"": 0.0}"
ExplicitRepeatRisk,10,1,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",False,False,False,,False,"{""attempt_index"": 10, ""completed"": false, ""completed_successfully"": false, ""delta_since_previous_observation"": 0.0, ""previous_observed_attempt"": 9, ""score_after"": 0.0, ""score_before"": 0.0}"
