arm,task_id,seed,budget,job_id,status,SUN,AUDC,mSUN,receipt_artifact,receipt_sha256,result_artifact,result_sha256
baseline_reference,Co-Dy-W,3,10,component-final-3a4b0c1cd037fc1028c65eb5,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-3a4b0c1cd037fc1028c65eb5/receipt.json,0f0a1f96aa35364dfcc556b28507040e01293028f562e43256e05c526241e424,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-3a4b0c1cd037fc1028c65eb5/result.json,dd2b01c3976a4124606cc6bfb3d0b852efcdaeed7fe3bfed48244159d86c5b1b
baseline_reference,Co-Dy-W,4,10,component-final-a526e6a613189f807a458cb1,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-a526e6a613189f807a458cb1/receipt.json,c609d3fb5d7dfa65b5a233a3c438e354335b32c9c1c2a52e299f5a11a3248ab8,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-a526e6a613189f807a458cb1/result.json,2823c081c1c71b4babc11104c06f8a97156bfa3c870d0cb8f57f13a70fd15ab7
baseline_reference,Co-Mg-Na,2,10,component-final-a8630b6c09e7eed6994a9658,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-a8630b6c09e7eed6994a9658/receipt.json,f5bade9f702ac246f0f38c834263ca4d87e498fe1ba64b9328eded38ee5d9bc4,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-a8630b6c09e7eed6994a9658/result.json,d73f6d0f6e0d2447bad12190bc1ba9a26bf7afcfae9d935feadb435e99eac58b
baseline_reference,Co-Mg-Na,3,10,component-final-4b3d96d6b87ab535fb130a5e,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-4b3d96d6b87ab535fb130a5e/receipt.json,c1e51bfeb40f6c2f6c2c2909e50616ced96b6e673326283e38aecb4f93ecf8a5,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-4b3d96d6b87ab535fb130a5e/result.json,32f94791f16f5860009a461f85834fb35101e2b0a2baad27766d4cced92827d5
baseline_reference,Co-Mg-Na,4,10,component-final-613da1e8bf281966bbdc66db,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-613da1e8bf281966bbdc66db/receipt.json,74ae17be4b18d55989140f6d84777f3704c443f0b0b8fcb347457dd450b672d8,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-613da1e8bf281966bbdc66db/result.json,fd029822d31e28cfd66701bbaed5be38a2a0cc17a80962b6345b60e6ecab1827
uq_only_support_aware,Al-Li-V,2,10,support-final-ccd9a242b4945d6cfcdb68dc,complete,0,0.0,0.0,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-ccd9a242b4945d6cfcdb68dc/receipt.json,4c2896fdc84c36c850bc254a2fe2798e3405b151c9ad089d0c0fe2310acaf979,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-ccd9a242b4945d6cfcdb68dc/result.json,6e704bae79f53cc75724be0693d79838eb4056138c1366461dbf7f6ccbf31344
uq_only_support_aware,Al-Li-V,3,10,support-final-2cd11ff827dc56a49263e71d,complete,1,0.09,0.1,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-2cd11ff827dc56a49263e71d/receipt.json,2ca150e26cf96dfe655e0596aab50009d56af32ada8ce5345dd0931f26dd0d20,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-2cd11ff827dc56a49263e71d/result.json,32e76c33be1e9056e959b6ac5d2c5f10f7fc136409e62d222c1d558d9de4f902
uq_only_support_aware,Al-Li-V,4,10,support-final-4a84dce05fdc57c5272bb199,complete,0,0.0,0.0,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-4a84dce05fdc57c5272bb199/receipt.json,8c48a26caf994852d7dd8f58b0f8e65c1296a44bdb516ce180c4478f7b96482e,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-4a84dce05fdc57c5272bb199/result.json,6f8231b2a78dfd487554f3c51c7e031e088bc9b713538428065a36887614ba1b
uq_only_support_aware,Al-V-Zn,2,10,support-final-50481d7de104501120b84fb5,complete,5,0.71,0.5,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-50481d7de104501120b84fb5/receipt.json,7293964b29eac400a8ed0eada75e246dfbf2285bec429efa128476cdd00d7ae2,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-50481d7de104501120b84fb5/result.json,9f183bc7c79bc62028d5a43c4d217abc8182464d769a2fec953307d58f40e5a2
uq_only_support_aware,Al-V-Zn,3,10,support-final-5d1cc6924d5efee9cbf9f4a0,complete,7,0.73,0.7,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-5d1cc6924d5efee9cbf9f4a0/receipt.json,936b9eb83f45d24daae46d3a8c9b2a3f0c13b038bb1c744609509254a3986049,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-5d1cc6924d5efee9cbf9f4a0/result.json,7fc51e353debf3795cf25f89de6d483e1a7a747af3881efd84cd89144be634bf
uq_only_support_aware,Al-V-Zn,4,10,support-final-b8ea68c4cba1f93c238e3acd,complete,3,0.41,0.3,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-b8ea68c4cba1f93c238e3acd/receipt.json,0c02ecdb08568838a00946477f72c06bfd5f1436c9551fc2dc663bd61409dc1a,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-b8ea68c4cba1f93c238e3acd/result.json,93ecfa74b20ec9fd8d7abd49a52f8bed7479415f88120fb6dc22814ea41af7d4
uq_only_support_aware,Au-K-Tb,2,10,support-final-38ae55456a55c01858bdaca6,complete,3,0.25,0.3,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-38ae55456a55c01858bdaca6/receipt.json,bf04cc17b114d3e708db92dd5218f76b6b10e29093284aecce855a25beb0eba6,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-38ae55456a55c01858bdaca6/result.json,3fc8001aa021f8ff6a6e5562112f372f8f547b9b2cbaac2718ae6943753b2f25
uq_only_support_aware,Au-K-Tb,3,10,support-final-2b6cfd7c97c158c305971c45,complete,3,0.37,0.3,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-2b6cfd7c97c158c305971c45/receipt.json,e31e2525b866253283b28fab1cc3436b7541dcf37a6fdc7346c6512afc552736,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-2b6cfd7c97c158c305971c45/result.json,6dc41e33540ceb178a793d90ab13c6260a24533adb3af936b5f71ea17ef82c6e
uq_only_support_aware,Au-K-Tb,4,10,support-final-3e91e70d18721910fb699c2a,complete,0,0.0,0.0,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-3e91e70d18721910fb699c2a/receipt.json,9f21eff2cc55727f918342c33ce16b0c554571564e88be70d37687a7264b590b,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-3e91e70d18721910fb699c2a/result.json,09abf73f476849d5f906ee9a226b23dcb1a07d3785b61312328b4dd5758ec32f
uq_only_support_aware,Co-Dy-W,2,10,support-final-5eccea7f5a24da2f5b31b4ab,complete,2,0.16,0.2,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-5eccea7f5a24da2f5b31b4ab/receipt.json,f4a00683a68be83f526e7486ae25d410717de849ff422351340fc76ad61bca71,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-5eccea7f5a24da2f5b31b4ab/result.json,adb929114f1932ff8e3d9fbe1e13ad81dbb524061244f3760479559d95c30c57
uq_only_support_aware,Co-Dy-W,3,10,support-final-97076161f2eb1dff20b02ffe,complete,0,0.0,0.0,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-97076161f2eb1dff20b02ffe/receipt.json,46f418f00759ad1514b1bb8c85e4b48892385c8464fc68bb2b4b83d733e48b60,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-97076161f2eb1dff20b02ffe/result.json,3b8a43f53a448a0a8541894155b0d2ef8ba47d3e63ce6d6a0ac0a8667733eb34
uq_only_support_aware,Co-Dy-W,4,10,support-final-c16688941b047acff551e984,complete,1,0.17,0.1,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-c16688941b047acff551e984/receipt.json,5f070aa2f0e199ccf8f09c5622650b520f7b33394c7a7a86605ac343a246ca23,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-c16688941b047acff551e984/result.json,be4cfd1b0c429178ed03fc036246d2f88034d6399ccce24566a63fa0ddf46253
uq_only_support_aware,Co-Mg-Na,2,10,support-final-fbf58f289d7058d1b56ff33f,complete,0,0.0,0.0,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-fbf58f289d7058d1b56ff33f/receipt.json,2d33c88a5278b308fa13ef597c7212cde6f274a7c8d5a2c5e4803891c27405e0,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-fbf58f289d7058d1b56ff33f/result.json,65878688db5d40f5c9c39c2ad35e3fc10e7f405aa1271d1d4b93ab1647629ecc
uq_only_support_aware,Co-Mg-Na,3,10,support-final-8f46b298f45606301f129592,complete,0,0.0,0.0,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-8f46b298f45606301f129592/receipt.json,df31e25f17a0d9c4eb2760de156bcdb85260383e0e82ba40210291d03c379d26,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-8f46b298f45606301f129592/result.json,7f4584f73adc3ebc9256ff3cc9f729058f23f25ff63edf56489f4bd76025dcbd
uq_only_support_aware,Co-Mg-Na,4,10,support-final-d5b33bead70e71d6523996b6,complete,0,0.0,0.0,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-d5b33bead70e71d6523996b6/receipt.json,7dcf85b857a29f890809a3e4873c146aeaf94cf4925f033c2d1669796bfedd65,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-d5b33bead70e71d6523996b6/result.json,8a8ff34345a2e0d557e4a0b5c8ae5bce860db1111aa3003721c06d407337715b
es_only_independent,Al-Li-V,2,10,component-final-2e27f5563acb699daae1d131,complete,1,0.15,0.1,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-2e27f5563acb699daae1d131/receipt.json,e3c884a9c112424d3e7235e029684703a7a5351d896b3181c23baa10e9879631,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-2e27f5563acb699daae1d131/result.json,3def5a89eaf3f089ed59ffe1070e84d683f0ec252f3e5e0d5d9dff12099d4521
es_only_independent,Al-Li-V,3,10,component-final-8e1fbdae4c717bead751ef3f,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-8e1fbdae4c717bead751ef3f/receipt.json,a9280dd03a82a8ff08a16f5042bac4916176637f2fa53e85c3309e2025f9a463,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-8e1fbdae4c717bead751ef3f/result.json,d2f714fa8c04ed184e9e2f67037c30579b9dab0a37e3b0de9e2d9267c137f529
es_only_independent,Al-Li-V,4,10,component-final-d183e09d99cadf104f59d07e,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-d183e09d99cadf104f59d07e/receipt.json,71976c8c6b868ea95eb84e666762122224a900412b8b200e2b00ea6ecbba4ed2,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-d183e09d99cadf104f59d07e/result.json,220d58dd32917d137646f7ce6ab230ce6e110276428bcb47db0bf3fccdbf8981
es_only_independent,Al-V-Zn,2,10,component-final-b20a8fccedb10da7d5ed97a6,complete,4,0.46,0.4,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-b20a8fccedb10da7d5ed97a6/receipt.json,b5fb9e5cf80da00c0975cfad0889a127dbb8df412d547dbd1bc1c4e99280b58e,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-b20a8fccedb10da7d5ed97a6/result.json,a2d4dddec8c2bb359914f5b829ba17d6a92055b259d67f1b6bb0abf6109822a0
es_only_independent,Al-V-Zn,3,10,component-final-02fb34c6b01aed253ffa4730,complete,5,0.63,0.5,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-02fb34c6b01aed253ffa4730/receipt.json,dee483b3a1d048045663172c2160fa6b6b6fb11a2eb141cd962a56137f00d91c,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-02fb34c6b01aed253ffa4730/result.json,f7eecc81de4150b5f4e42fa01da1760c84d75c576fbe016e5875a59e3fcdc95d
es_only_independent,Al-V-Zn,4,10,component-final-2ba86fe5167c7c377083c728,complete,3,0.35,0.3,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-2ba86fe5167c7c377083c728/receipt.json,7334e1f870bf8d1155cd22709d8b934f869e58f341d07539c1ea1cd955bcef4c,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-2ba86fe5167c7c377083c728/result.json,3a091c409927a87c0357f35a85a1dfe4e2b6fbea38db4bbc30046b6509286bea
es_only_independent,Au-K-Tb,2,10,component-final-637e688029854bff551ffb68,complete,1,0.19,0.1,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-637e688029854bff551ffb68/receipt.json,3ae1ad43291bf6ed130e99f2c619b11f2b2c6cedeae8354b237a65b731abfbf6,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-637e688029854bff551ffb68/result.json,92177e12c0328dca62ff065968c368284172c75a28226a2cc4186caa4dce8e0b
es_only_independent,Au-K-Tb,3,10,component-final-f01350a0031f3cb06d45632e,complete,1,0.17,0.1,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-f01350a0031f3cb06d45632e/receipt.json,19bb2e09a773e701eda096e64874fcb1cef54315c639234c2aad3175ba151b87,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-f01350a0031f3cb06d45632e/result.json,864df57c51dc3013c721c08a0173d3b195cc60407040e529b9620b4eb9e6527d
es_only_independent,Au-K-Tb,4,10,component-final-fd363bc50f56142b92b62728,complete,1,0.01,0.1,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-fd363bc50f56142b92b62728/receipt.json,cd52df3b176ff5cba766a9743687906f3fab061f9fa678e2d73ac4cb04e28b6d,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-fd363bc50f56142b92b62728/result.json,41c1a417aea1eea2b0c72bd5aebe8473f89dcd1314f78733490cc86e47143bf4
es_only_independent,Co-Dy-W,2,10,component-final-309c3c6fb2c047a93c1f8575,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-309c3c6fb2c047a93c1f8575/receipt.json,3b1a64bcadc0e1c3ffa842fbf7f54b924eaac21af21586d9f2ed72f70d0f2ab9,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-309c3c6fb2c047a93c1f8575/result.json,f16fb1f1bfd68b7fc1eccd1cad16b2b6f93f3b14e4fbb7b1e6df59e1bb426c43
es_only_independent,Co-Dy-W,3,10,component-final-ced0af809caafbfd44aa8165,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-ced0af809caafbfd44aa8165/receipt.json,e58711a069f29defd95c025a69af52dae38d12172d560aba259faa51bea8f32e,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-ced0af809caafbfd44aa8165/result.json,6c78a96ae978e2d638c076b1bb8e73023896d5bce50ebb2c2bd8ab1151eb6443
es_only_independent,Co-Dy-W,4,10,component-final-60a0f011651058cfacc89f7b,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-60a0f011651058cfacc89f7b/receipt.json,e640206cf7a78183c5bd3066861e9cde1a62182da62fb406437d4a213e562282,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-60a0f011651058cfacc89f7b/result.json,92167d13ba163d83b8f8146f8ac07b81a438ef68ad82994836663953918e3ff9
es_only_independent,Co-Mg-Na,2,10,component-final-7cc2c2335ff1e079999ecabb,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-7cc2c2335ff1e079999ecabb/receipt.json,6c576f7767233558db569e3c556da15037834da8ccd05cdb29f38eb1abf556ad,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-7cc2c2335ff1e079999ecabb/result.json,8d9e67b75d127c0335be5aad62c1e689779876391e0282ea28af7fae86fdf863
es_only_independent,Co-Mg-Na,3,10,component-final-827fb29e7d467a5c1448a2d5,complete,0,0.0,0.0,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-827fb29e7d467a5c1448a2d5/receipt.json,fbf2686fa5824a065fcac7a811c8b1c1d5575bc1f991290adb03ed96ce97a2fd,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-827fb29e7d467a5c1448a2d5/result.json,2f59dac9a42725817eecaf72f33ee002389538ecd60cdde8cda7100256f183a0
es_only_independent,Co-Mg-Na,4,10,component-final-209f38eb700cca3d60e9efa7,complete,1,0.01,0.1,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-209f38eb700cca3d60e9efa7/receipt.json,fa9f6b7cb1a30cf27fa269b837a4063ac8b8be0920d88490a046ca3e61839b88,evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-209f38eb700cca3d60e9efa7/result.json,e7bb8992976459cfddf7de98f1825c89e6116e9ef87899e8fce63a68cefce7ff
full_support_aware,Al-Li-V,2,10,support-final-bceab85ac67db411774a2563,complete,0,0.0,0.0,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-bceab85ac67db411774a2563/receipt.json,892be4df4e2fb41e1d7b1826f5a6c91a85357ad5317091cf3c847723661586d8,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-bceab85ac67db411774a2563/result.json,013df0dbfbd0566787fefda46b5a5acde971e2ba99540a3e17a3d21bd554f86e
full_support_aware,Al-Li-V,3,10,support-final-2b96c9fd2ded8ff4d3c9fa7b,complete,0,0.0,0.0,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-2b96c9fd2ded8ff4d3c9fa7b/receipt.json,9f845deb859afd5b6c382bbf6d5446bcefe100417c9bb411b17f415ee732ac2d,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-2b96c9fd2ded8ff4d3c9fa7b/result.json,6ecf025aaef9df28277fb65ef260cfbe5cf48052bf16eda5df4b3b13da737008
full_support_aware,Al-Li-V,4,10,support-final-cda0e2a385af0e786df7d24a,complete,2,0.28,0.2,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-cda0e2a385af0e786df7d24a/receipt.json,9b8eacae88a5264a63838704005c6a0a9d6fed030e2d82b79843bf70026839c5,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-cda0e2a385af0e786df7d24a/result.json,b4d00fd1ad56d1c64ff5e0322f4b1cf97d32713a30f7e8ea6ed60e93dce9e1db
full_support_aware,Al-V-Zn,2,10,support-final-ca740c106b65301c3c20f121,complete,4,0.42,0.4,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-ca740c106b65301c3c20f121/receipt.json,ad83b5f4de5f0d231a95ec6d5bf99270fa199c968f6dbaecaeb27a45210652bb,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-ca740c106b65301c3c20f121/result.json,f23bef1538602e0229db2d57a3b1cc8ff0286978a1dbda5710180e2d351c34a0
full_support_aware,Al-V-Zn,3,10,support-final-c3b9e4053e380cd376460042,complete,3,0.47,0.3,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-c3b9e4053e380cd376460042/receipt.json,1b169b62dc5d2baac07b188f4f7a6be86ff97401cc870b544f8137ba9d6e029b,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-c3b9e4053e380cd376460042/result.json,2cdf885ef0691b7d179382c8ac6bcd7f964ba19db52d7a39d793fed25c53d705
full_support_aware,Al-V-Zn,4,10,support-final-8d9484c7a3dc0a3085dccdab,complete,4,0.34,0.4,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-8d9484c7a3dc0a3085dccdab/receipt.json,2f7a497eb5343f9647d2a77e779a149f45578123ba7ef65a4623734424ff04bf,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-8d9484c7a3dc0a3085dccdab/result.json,ae6f33f2db8d1f14fee77677c631da94972b539aa8acf1843fc17c06d15ddc6d
full_support_aware,Au-K-Tb,2,10,support-final-68807310bf257b755381e67b,complete,0,0.0,0.0,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-68807310bf257b755381e67b/receipt.json,cd36d966f6ffa2ce3e8431fe5e1ea0f863f352b96c556a49463d205ae52d5f0b,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-68807310bf257b755381e67b/result.json,a3c68ad59772d99dfbf3f4cc47cf00631eaa05c0661052a93848bab004f5e261
full_support_aware,Au-K-Tb,3,10,support-final-5b6d1b84cc2ee0f52bb1c366,complete,3,0.37,0.3,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-5b6d1b84cc2ee0f52bb1c366/receipt.json,fd2fd7f61952e25479f9d91cfd7033b2e9d6900775df9dd7582c78a5ac7cb86f,evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-5b6d1b84cc2ee0f52bb1c366/result.json,4da52604e3c8f4acd6fb95462032384d413598567b896a32cc9571488b12a29a
