budget,seed,task_id,arm,SUN,AUDC,first_positive_query,SUN_at_query5,SUN_change_queries5_to10,result_path,result_sha256,receipt_path,receipt_sha256,candidate_oracle_attempts,initialization_oracle_attempts,surrogate_oracle_attempts,score_sentinels,llm_calls,tool_attempts,graph_seconds,wall_seconds
10,2,Au-Cr-Cs-Dy,es_only_independent,4,0.58,1,4,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-7e994fb8ab445a418e08e590/result.json,3e71020d0fa160085cfa79bdc96ce0eb925ac6eac85253b6b9a1e5ddab21fd3a,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-7e994fb8ab445a418e08e590/receipt.json,be0657b0ef7ff3b0bd8c0603ef0535389c44734a2dd401c5221cf5e6a2f31397,10,11,37,11,20,18,0,355.9399281395599
10,2,Au-Cr-Cs-Dy,full_support_aware,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-1a6965c14309d0ed9c706be0/result.json,174f3835855cb70cfc167f4ade1f6875ec8f47992db7c155bdf8961909bcbf86,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-1a6965c14309d0ed9c706be0/receipt.json,b583224ecad986313f4c56f1c850a4bddf0b92ada5878e5d7f6bf22faf70833d,10,11,67,,22,22,448.6037618080154,859.7652381695807
10,2,Au-K-Tb,baseline_reference,4,0.26,4,1,3,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-829f81d1c8b6dff9869aa711/result.json,9f07e57ccac9ecbbb8efdba9bb53f40e01516281d4a483b4ac79549aabcc3581,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-829f81d1c8b6dff9869aa711/receipt.json,7a7f9f6aafa58f37965ee481e6d0c217b06416324ed640c4b58cca29d4a06627,10,11,46,7,18,17,0,355.48606337979436
10,2,Au-K-Tb,uq_only_support_aware,3,0.25,5,1,2,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-38ae55456a55c01858bdaca6/result.json,3fc8001aa021f8ff6a6e5562112f372f8f547b9b2cbaac2718ae6943753b2f25,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-38ae55456a55c01858bdaca6/receipt.json,bf04cc17b114d3e708db92dd5218f76b6b10e29093284aecce855a25beb0eba6,10,11,52,25,24,23,1500.0568366358057,1974.4646615777165
10,2,Au-K-Tb,es_only_independent,1,0.19,1,1,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-637e688029854bff551ffb68/result.json,92177e12c0328dca62ff065968c368284172c75a28226a2cc4186caa4dce8e0b,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-637e688029854bff551ffb68/receipt.json,3ae1ad43291bf6ed130e99f2c619b11f2b2c6cedeae8354b237a65b731abfbf6,10,11,58,,21,20,0,365.68822515010834
10,2,Au-K-Tb,full_support_aware,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-68807310bf257b755381e67b/result.json,a3c68ad59772d99dfbf3f4cc47cf00631eaa05c0661052a93848bab004f5e261,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-68807310bf257b755381e67b/receipt.json,cd36d966f6ffa2ce3e8431fe5e1ea0f863f352b96c556a49463d205ae52d5f0b,10,11,,,21,18,1056.4421615721658,1395.2760076262057
10,2,Au-Tb-V-Y,baseline_reference,1,0.11,5,1,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-d162af62e35cb5b102460cac/result.json,b036a3710313abb535bed9ce55603ffee4915099676393028f45f0da30e5a3dd,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-d162af62e35cb5b102460cac/receipt.json,0c158f2228aae5dd1011ebc052de88c65c9824282b4d4eb83dcf14ba5745f9d4,10,23,139,,19,19,0,441.4397158687934
10,2,Au-Tb-V-Y,uq_only_support_aware,1,0.11,5,1,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-f4fb0bc5660e5cbea5ab19fe/result.json,d67e4b7d3233d73695df34a8961e7a82758aa7912359bb6b2fdb3e6f7f07190b,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-f4fb0bc5660e5cbea5ab19fe/receipt.json,e7832f786de1d55c08b373fd2ed6c5c04f009139c86c7afd6c4895a1538ba37f,10,23,51,,16,16,916.6555347312242,1213.96552071115
10,2,Au-Tb-V-Y,es_only_independent,1,0.15,3,1,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-b08dc4996f12b404a474fe8a/result.json,c22370f76dcc57e2c6a29339ab3df9c97f056e546a289d53b28e71ebc20e1bf2,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-b08dc4996f12b404a474fe8a/receipt.json,b524ea0e5b52a9b573ff8d48749c2de8427ae65eee9dc7ea3e622b54c6d13e03,10,23,29,,20,20,0,315.36464501637965
10,2,Au-Tb-V-Y,full_support_aware,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-8ddd13950a3b79b7029e9ad3/result.json,093291e9198a1ca405f4365c03e7c66e4f11465418c47092c56c140364b585f7,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-8ddd13950a3b79b7029e9ad3/receipt.json,f52ac95e505ccebb88ff748255e2b82ba342f64bc186609b64db6ab9ac792cb0,10,23,,,18,17,682.0302835498005,979.3435084596276
10,2,Ba-Be-Hf-Li,baseline_reference,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-e055a90cdea61f8b88b11b9d/result.json,147e7feb28d697c1cc5289a3565baad767372ff412267f1962774eb8e4beed74,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-e055a90cdea61f8b88b11b9d/receipt.json,29e00fbb456420ad9d4aa1cb636a5ceba3aec232b0bd803b6b3496ad059ab007,10,8,144,,24,24,0,478.0424415702
10,2,Ba-Be-Hf-Li,uq_only_support_aware,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-3d33302d79a3e5a49db8a089/result.json,c99c2210bc545a75c08b2fdeef13b75a2049a1abe267b19f4682098f15a06a8f,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-3d33302d79a3e5a49db8a089/receipt.json,e864a86837ea4fc161644957a0c2796db6f892708748f43a490f474331971d5c,10,8,47,,26,26,1444.6845395057462,1943.5148946288973
10,2,Ba-Be-Hf-Li,es_only_independent,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-894abe64cc709063a80a0651/result.json,683a16bd0dd654d9a7db26373d7203ceb6ecf16376f842af1b8deb3ce185edf3,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-894abe64cc709063a80a0651/receipt.json,79ea870d12f563986f18e3e5b0d6c3c179ddfa07a6bd2bb04754592d0dd52a91,10,8,31,,18,18,0,309.93439976125956
10,2,Ba-Be-Hf-Li,full_support_aware,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-162b641b9c795ec8cbbca2cd/result.json,41352aef305a3c986b1420b1e7dbc2556fcbc5c83bc552689b5943599ac4e926,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-162b641b9c795ec8cbbca2cd/receipt.json,ebd4f4ba6c76137bd27f03be3ab5066787680514e4931f57753406d550aaf299,10,8,29,,21,19,683.4945316100493,1081.2169535253197
10,2,Ba-Nd-Ni-W,baseline_reference,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-dc0be1ae32cc4968091e77db/result.json,a1625153189681466a1c8b65fee90399d24dc1173213dfb54123418348d683fa,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-dc0be1ae32cc4968091e77db/receipt.json,87b225905658274679273936e8eb73af96fb6d8927237ee9189bffddff3a6434,10,12,165,,21,21,0,498.4446731507778
10,2,Ba-Nd-Ni-W,uq_only_support_aware,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-5b7a01d4f004bb2a3b984360/result.json,3e613b9107a28022e944946522938b5f9ef717514cb66cb6632fbe19f4bf78d2,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-5b7a01d4f004bb2a3b984360/receipt.json,9d5269f5d00c325d26fe213f9636df7d823fd4da098adc9f66e67a43147c104b,10,12,99,,25,24,1311.4911636812612,1884.195799482055
10,2,Ba-Nd-Ni-W,es_only_independent,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-5808a431e2c3d13d62027bd2/result.json,7760ca97fd00999d2de59baa7f20aac5c351781a0380ae028076060c450fb9eb,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-5808a431e2c3d13d62027bd2/receipt.json,3d2bb24793f35e88af5b524925b4f21b35fb343bbb40a47548d29e154be4d819,10,12,29,,19,18,0,317.1218071486801
10,2,Ba-Nd-Ni-W,full_support_aware,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-f09b3e784a0ddc04b0a7317a/result.json,2de62d470b8c551222ecefc8d6cf990763d8ff817f29861b8f28eab41978fb65,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-f09b3e784a0ddc04b0a7317a/receipt.json,4d9e45981fa73253639c39147e5e1736ef6a55a68b9ef420635413e70490893e,10,12,29,,17,17,604.7030329555273,976.5105373244733
10,2,Ca-Pd-Sn-W,baseline_reference,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-d0e5088457f94df5fb734d2f/result.json,66c45bea35cd598248937bd3bc527003116f2ddb693fcc9e539c9924696c6743,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-d0e5088457f94df5fb734d2f/receipt.json,66a28eaaa29a2aef84fa4df8758b4085c98838207532890a3e06b30f66e54f62,10,26,178,,19,19,0,612.3180952649564
10,2,Ca-Pd-Sn-W,uq_only_support_aware,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-373029d9b12c74627cb8e1e9/result.json,2a26374cbf567f8fdafbacf984d58783eebe2e7fa47f547de35a3db88df31c96,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-373029d9b12c74627cb8e1e9/receipt.json,3147484d7e73f508206d9166d4403d8aadf98f5b1c75a27a6d975a4c2164b62c,10,26,129,,23,22,995.5814568819478,1546.2425192203373
10,2,Ca-Pd-Sn-W,es_only_independent,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-87c47cdf901aa65da9a4fd9d/result.json,1f6b838c039d5afdc5b3519becf9f9569e13f1f3d9d475b9b555bf9a8d71d29d,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-87c47cdf901aa65da9a4fd9d/receipt.json,5b0520f15a9cf50245aaba35bf2dfe6f7b96920abe89a0e5df564e8aa74b8e2b,10,26,54,,21,18,0,416.60944548714906
10,2,Ca-Pd-Sn-W,full_support_aware,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-dc0639b5ff8be613f1c8c6f0/result.json,fbdefae4df5e4542573352247d273a3ef2827ebae6c06025b77f3c773324140c,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-dc0639b5ff8be613f1c8c6f0/receipt.json,19340dd0444b74190d2133155e62b8cd1560c6b750d4ee3cf03648fa36226e5c,10,26,29,,18,18,644.3084724619985,1007.3860580576584
10,2,Ce-Er-Pb-Rh,baseline_reference,3,0.29,2,1,2,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-f7815acc56142f0958252762/result.json,a743697fb198bd9c45ef70dd0cc7e689534289086b33bd6f23d6d968486d8003,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-f7815acc56142f0958252762/receipt.json,8a0fb52b8c0b2d97fd9fc75aef64e5a30f65163d8817308ea1c0672e2717e60b,10,33,98,82,23,21,0,549.575273049064
10,2,Ce-Er-Pb-Rh,uq_only_support_aware,1,0.19,1,1,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-6f32364178f6566ce2b61257/result.json,b84ef4de5c296b76afd7ca976a49d60d95f8327acf608940c063308f2037ceda,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-6f32364178f6566ce2b61257/receipt.json,dc367acd90c004e4cc1db9b847be24632f7043d03bed1f0b7adc52fe5e7428ca,10,33,130,74,22,19,998.9390648724511,1537.1773261507042
10,2,Ce-Er-Pb-Rh,es_only_independent,1,0.19,1,1,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-fa513c699bfc955f9424e95e/result.json,c0d7a3803a233e6d265f0081cb87d1d31b9658068ea3a5998573389aa6f821d8,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-fa513c699bfc955f9424e95e/receipt.json,f4cae3dc63ef5a041f5c877e4ce10b34e78b30f41dbb3a53175a4bd637cc69fd,10,33,48,20,26,24,0,511.43584596645087
10,2,Ce-Er-Pb-Rh,full_support_aware,3,0.21,4,1,2,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-45ccef9bb58094559ca4578d/result.json,e064ebdd16fc535417a38e9d5f39f6ac0fb76f08f3a01ddaae649c83fa1a6f42,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-45ccef9bb58094559ca4578d/receipt.json,5764295924b8b49fb3439c184416ea533a47c8e43b3439a2ed8265db8ee83fb2,10,33,86,82,18,17,424.53610338363796,830.1460141772404
10,2,Ce-Ir-Pt-Sn,baseline_reference,1,0.07,7,0,1,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-251fda107f2a15d6293fdf18/result.json,72cff9d3ca029c16875b4cc61d8113c05f18a69b5b43ac1e93230b8b2a2ec190,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-251fda107f2a15d6293fdf18/receipt.json,5503156d91ab0f890d9d920bab30cf98e1b7d85b19afd7618446b494e604dcfb,10,45,114,16,25,24,0,668.588401013054
10,2,Ce-Ir-Pt-Sn,uq_only_support_aware,4,0.16,7,0,4,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-2d0885c75e15e5c1c573f70c/result.json,6519d393cb9634ec9afb235702c93b36e94baf44148bb8606682f4853e241eea,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-2d0885c75e15e5c1c573f70c/receipt.json,1ee8098abe6cca1f88bd3c10d96e6e08dbdccb496d3d8319281fca644add8ae9,10,45,75,,20,20,1037.5721872095019,1506.1556443348527
10,2,Ce-Ir-Pt-Sn,es_only_independent,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-c6bdb2034fb9c02596612ae6/result.json,a7a3eec357c6aac94062f85e8b6e67fee4928e2f11fbd18d9e7f1ef9e3510f41,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-c6bdb2034fb9c02596612ae6/receipt.json,2c7bf1c7d88d710cb10cdfa558e9e45f147cd4925894a09b6ea3aeec08e00cf0,10,45,110,,37,38,0,637.0224474109709
10,2,Ce-Ir-Pt-Sn,full_support_aware,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-f4faf6133fc3e50f03662f80/result.json,fee3e46a1bfdd88149e821f47ed22d124fa9d4a147a5383a614aa52f22ef9477,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_support_aware_method_v1/experiments/support_final/jobs/support-final-f4faf6133fc3e50f03662f80/receipt.json,9020861f27ed20e525c37c642d4b119b4255ce4b4217515a09888f4a97d6a995,10,45,29,,18,18,631.5307683404535,1013.3397024637088
10,2,Co-Dy-W,baseline_reference,0,0.0,,0,0,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-2dce2a3709aad3945727809d/result.json,37c8b86237908291514a07069995060c740cbff46380cf93a5a7a5660c241954,/mnt/ai-material-data/made_crystalgym_crv_esopt_20260915_164607/evaluation_workspaces/made_component_ablations_v1/experiments/component_final/jobs/component-final-2dce2a3709aad3945727809d/receipt.json,7653fb2dd0ccf599b02b05e9db40a127b7902c04e9bab1ce822827adb4b07aed,10,11,87,21,22,21,0,402.82899418100715
